SKU,Descripcion,Familia,Linea,Fabricante,Precio_Lista,Moneda,Porcentaje_IVA,Porcentaje_IEPS
90384,MANGO ENCHILADO GRANEL LOGOR KG,FRUTA SECA,BALMORO,LOGOR,165,Pesos,0,8
AT37738 K,GOMITAS GUSANOS KILO,GOMITAS,HARIBO,HARIBO,164.5,Pesos,0,8
102131401,TABLETA EFERVESCENTE ZERO NARANJA 82 G,DEXTRO,DEXTRO,DEXTRO,163,Pesos,16,0
102131402,TABLETA EFERVESCENTE ZERO CEREZA 82 G,DEXTRO,,DEXTRO,163,Pesos,16,0
102131403,TABLETA EFERVESCENTE ZERO LIMON 82 G,DEXTRO,DEXTRO,DEXTRO,163,Pesos,16,0
36103,SUNKIST FRUIT GEMS  SIN ENVOLTURA 1 Kg,NULL,JELLY BELLY,JELLY BELLY,156,Pesos,0,8
36204K,SUNKIST FRUIT GEMS CON ENVOLTURA 1 KG.,NULL,JELLY BELLY,JELLY BELLY,156,Pesos,0,8
8103,SUNKIST FRUIT GEMS  A GRANEL 10 LBS.,NULL,JELLY BELLY,JELLY BELLY,156,Pesos,0,8
480649,ROLLOS AGRIDULCES QUATRRO BELTS BULK,DULCE C/AZ,FASCINI,FASCINI,155,Pesos,0,8
480649 G,ROLLOS AGRIDULCES QUATRRO BELTS GRANEL,GOMITAS,FASCINI,FASCINI,155,Pesos,0,8
102131401 SN,TABLETA EFERVESCENTE ZERO NARANJA 82 G,DEXTRO,DEXTRO,DEXTRO,150.26,Pesos,16,0
102131402 SN,TABLETA EFERVESCENTE ZERO CEREZA 82 G,DEXTRO,DEXTRO,DEXTRO,150.26,Pesos,16,0
102131403 SN,TABLETA EFERVESCENTE ZERO LIMON 82 G,DEXTRO,DEXTRO,DEXTRO,150.26,Pesos,16,0
32011,GOMITAS LICORICE GS,GOMITAS,HARIBO,HARIBO,150,Pesos,0,8
64797,JELLY BELLY BEAN BOOZLED FIERY FIVE SPINNER 99 GRS,GOMITAS,JELLY BELLY,JELLY BELLY,150,Pesos,0,8
10000044,CHOCOLATE AMARGO CON RELLENO DE CARAMELO S/A 82G,NULL,RUSSEL,RUSELL,139,Pesos,0,8
10000045,CHOCOLATE AMARGO CON ALMENDRAS S/A 79G,NULL,RUSSEL,RUSELL,139,Pesos,0,0
36204 H,SUNKIST FRUIT GEMS CON ENVOLTURA BOLSA 500 GRS,NULL,JELLY BELLY,JELLY BELLY,139,Pesos,0,8
MRR266,RITTER SPORT ESTUCHE CON 16 PIEZAS DE MINI RITTER,NULL,RITTER,RITTER,135,Pesos,0,8
T336,JABALINA XTREME VITROLERO ENV 50/25 G,,,PROCESADORA DE DULCES TIPICOS S.A. DE C.V,134.5,Pesos,0,8
CCC224,ESTUCHE CHOCO CUBO 224 G,CHOCOLATES,RITTER,RITTER,134,Pesos,0,8
PLYP-HARIBO,PLAYERA HARIBO TIPO POLO,NON FOODS,NON FOODS,HARIBO,128,Pesos,16,0
80042,TUTSI BOLSA FAMILIAR 1.1 KG,DULCES,TUTSI POP,TUTSI POP,125,Pesos,0,8
LD557,CHOCOLATE AMARGO RELLENO CEREZA/LICOR 336 GR,CHOCOLATES,LA SUIZA,LA SUIZA,125,Pesos,0,8
8732 DUO PACK,GOMITAS SOUR PUNCH DUO PACK  2 X 255g,GOMITAS,,AMERICAN LICORICE COMPANY,124,Pesos,0,8
MRR250,CAJA MINI RITTER 250 GRS,NULL,RITTER,RITTER,122,Pesos,0,8
64885,JB BEAN BOOZLED EXTREME SPINNER GIFT BOX 120 GRS,GOMITAS,JELLY BELLY,JELLY BELLY,121,Pesos,0,8
416,PALETOTA TUTSI POP CEREZA 20G 8/10,DULCES,TUTSI POP,TUTSI POP,120,Pesos,0,8
416 HAM,PALETOTA TUTSI POP CEREZA 20G 8/10,DULCES,TUTSI POP,TUTSI POP,120,Pesos,0,0
63965,JELLY BELLY BEAN BOOZLED DISPENSER  3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,120,Pesos,0,8
83773,12-5.5 OZ BERRY MIX MASON BAG,GOMITAS,JELLY BELLY,JELLY BELLY,120,Pesos,0,8
10042313,GOMITAS PARTY MIX 264GRSx12,GOMITAS,HARIBO,HARIBO,119,Pesos,0,8
GR32011,GOMITAS HAPPY COLA  10 GRS.,GOMITAS,HARIBO,HARIBO,114.5,Pesos,0,0
62213 HAM,JELLY BELLY BEAN BOOZLED GB  3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,112.86,Pesos,0,0
TCH8,CHILES HABANEROS TORRATOS 8 oz.,ML GOURMET,ML GOURMET,ML GOURMET,111.25,Pesos,0,0
230216,CHAROLA  C/PASTEL CON RELLENO CREMOSO SABOR BAILEYS 390G,PASTELITO BAILEYS,INTERCANDY,INTERCANDY,110,Pesos,0,8
62022,CARAMELOS MACIZOS SABOR MANTEQUILLA 43G  (BARRIL),BEBIDAS,JELLY BELLY,JELLY BELLY,105,Pesos,0,8
